time,action,symbol,lot,price,sl,tp,atr,providers,mode
2026-07-21T23:39:06.137650,paper_buy,EURUSD,0.2,1.0510746716268056,1.04907,1.05507,0.001,sma,paper
2026-07-21T23:44:04.898577,paper_sell,EURUSD,0.2,1.077651826506732,1.07965,1.07365,0.001,sma,paper
2026-07-22T19:58:08.738318,paper_sell,EURUSD,0.2,1.0617442207413614,1.06374,1.05774,0.001,sma,paper
2026-07-22T20:02:12.644361,paper_buy,EURUSD,0.2,1.1009883830323561,1.09899,1.10499,0.001,sma,paper
2026-07-23T02:28:44.217905,paper_sell,EURUSD,0.2,1.078885695069678,1.08089,1.07489,0.001,sma,paper
2026-07-23T22:51:44.774129,paper_sell,EURUSD,0.2,1.1155645926326185,1.11756,1.11156,0.001,sma,paper
2026-07-23T22:57:21.387853,paper_sell,EURUSD,0.2,1.1067955683678348,1.1088,1.1028,0.001,sma,paper
2026-07-23T23:00:40.780074,paper_sell,EURUSD,0.2,1.05120008337506,1.0532,1.0472,0.001,sma,paper
2026-07-23T23:03:44.668010,paper_buy,EURUSD,0.2,1.0868824946363593,1.08488,1.09088,0.001,sma,paper
2026-07-23T23:05:46.299680,paper_buy,EURUSD,0.2,1.0898080394787444,1.08781,1.09381,0.001,sma,paper
